cluster,length,occurences_pl,occurences_en,frequency_pl,frequency_en,total_frequency,relative_frequency
rzvr,4,1,0,0.000064,0.000000,0.000064,1.000000
rzw,3,2,0,0.000127,0.000000,0.000127,1.000000
rzz,3,1,0,0.000064,0.000000,0.000064,1.000000
rzɣ,3,4,0,0.000255,0.000000,0.000255,1.000000
rzɲ,3,2,0,0.000127,0.000000,0.000127,1.000000
rɣ,2,65,0,0.004138,0.000000,0.004138,1.000000
rɣj,3,4,0,0.000255,0.000000,0.000255,1.000000
rɣl,3,1,0,0.000064,0.000000,0.000064,1.000000
rɣn,3,1,0,0.000064,0.000000,0.000064,1.000000
rɣr,3,1,0,0.000064,0.000000,0.000064,1.000000
rɣv,3,2,0,0.000127,0.000000,0.000127,1.000000
rɣɣ,3,3,0,0.000191,0.000000,0.000191,1.000000
rɣɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
rɲ,2,200,0,0.012733,0.000000,0.012733,1.000000
rɲp,3,1,0,0.000064,0.000000,0.000064,1.000000
rʃ,2,295,0,0.018781,0.000000,0.018781,1.000000
rʃk,3,2,0,0.000127,0.000000,0.000127,1.000000
rʃm,3,1,0,0.000064,0.000000,0.000064,1.000000
rʃp,3,3,0,0.000191,0.000000,0.000191,1.000000
rʃpʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
rʃr,3,2,0,0.000127,0.000000,0.000127,1.000000
rʃt,3,14,0,0.000891,0.000000,0.000891,1.000000
rʃt͡ʃ,3,13,0,0.000828,0.000000,0.000828,1.000000
rʃt͡ʃk,4,1,0,0.000064,0.000000,0.000064,1.000000
rʃɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
rʒ,2,114,0,0.007258,0.000000,0.007258,1.000000
rʒn,3,2,0,0.000127,0.000000,0.000127,1.000000
rʒv,3,8,0,0.000509,0.000000,0.000509,1.000000
rʒvj,4,1,0,0.000064,0.000000,0.000064,1.000000
rʒz,3,1,0,0.000064,0.000000,0.000064,1.000000
rʒzv,4,1,0,0.000064,0.000000,0.000064,1.000000
rʒɲ,3,2,0,0.000127,0.000000,0.000127,1.000000
sb,2,0,133,0.000000,0.009399,0.009399,0.000000
sbj,3,0,1,0.000000,0.000071,0.000071,0.000000
sbl,3,0,6,0.000000,0.000424,0.000424,0.000000
sbr,3,0,6,0.000000,0.000424,0.000424,0.000000
sd,2,1,74,0.000064,0.005230,0.005293,0.012028
sdj,3,0,3,0.000000,0.000212,0.000212,0.000000
sdr,3,0,8,0.000000,0.000565,0.000565,0.000000
sd͡ʒ,2,0,19,0.000000,0.001343,0.001343,0.000000
sf,2,820,213,0.052206,0.015053,0.067259,0.776194
sfk,3,1,0,0.000064,0.000000,0.000064,1.000000
sfkf,4,1,0,0.000064,0.000000,0.000064,1.000000
sfl,3,2,9,0.000127,0.000636,0.000763,0.166801
sfm,3,1,0,0.000064,0.000000,0.000064,1.000000
sfp,3,10,0,0.000637,0.000000,0.000637,1.000000
sfpr,4,7,0,0.000446,0.000000,0.000446,1.000000
sfpw,4,1,0,0.000064,0.000000,0.000064,1.000000
sfpʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
sfr,3,7,24,0.000446,0.001696,0.002142,0.208080
sfs,3,19,0,0.001210,0.000000,0.001210,1.000000
sfsp,4,13,0,0.000828,0.000000,0.000828,1.000000
sfspr,5,3,0,0.000191,0.000000,0.000191,1.000000
sfst,4,4,0,0.000255,0.000000,0.000255,1.000000
sft,3,7,0,0.000446,0.000000,0.000446,1.000000
sft͡s,3,2,0,0.000127,0.000000,0.000127,1.000000
sft͡ʃ,3,4,0,0.000255,0.000000,0.000255,1.000000
sfʃ,3,18,0,0.001146,0.000000,0.001146,1.000000
sfʃt͡ʃ,4,2,0,0.000127,0.000000,0.000127,1.000000
sg,2,0,61,0.000000,0.004311,0.004311,0.000000
sgr,3,0,12,0.000000,0.000848,0.000848,0.000000
sh,2,0,104,0.000000,0.007350,0.007350,0.000000
sj,2,421,99,0.026803,0.006996,0.033800,0.793003
sk,2,5391,889,0.343223,0.062827,0.406050,0.845273
skf,3,33,3,0.002101,0.000212,0.002313,0.908338
skfr,4,1,0,0.000064,0.000000,0.000064,1.000000
skh,3,0,4,0.000000,0.000283,0.000283,0.000000
skj,3,1,23,0.000064,0.001625,0.001689,0.037692
skk,3,3,0,0.000191,0.000000,0.000191,1.000000
skl,3,54,24,0.003438,0.001696,0.005134,0.669636
skm,3,0,6,0.000000,0.000424,0.000424,0.000000
skn,3,9,1,0.000573,0.000071,0.000644,0.890205
skp,3,6,1,0.000382,0.000071,0.000453,0.843878
skps,4,1,0,0.000064,0.000000,0.000064,1.000000
skpʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
skr,3,190,109,0.012097,0.007703,0.019800,0.610945
skrv,4,3,0,0.000191,0.000000,0.000191,1.000000
sks,3,4,14,0.000255,0.000989,0.001244,0.204703
sksf,4,0,1,0.000000,0.000071,0.000071,0.000000
sksj,4,0,2,0.000000,0.000141,0.000141,0.000000
sksk,4,0,2,0.000000,0.000141,0.000141,0.000000
sksn,4,0,1,0.000000,0.000071,0.000071,0.000000
sksp,4,2,0,0.000127,0.000000,0.000127,1.000000
skst,4,0,1,0.000000,0.000071,0.000071,0.000000
skst͡ʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
sksw,4,1,3,0.000064,0.000212,0.000276,0.230941
skt,3,50,91,0.003183,0.006431,0.009614,0.331097
sktf,4,0,1,0.000000,0.000071,0.000071,0.000000
skth,4,0,4,0.000000,0.000283,0.000283,0.000000
sktj,4,0,2,0.000000,0.000141,0.000141,0.000000
sktk,4,0,1,0.000000,0.000071,0.000071,0.000000
sktkw,5,0,1,0.000000,0.000071,0.000071,0.000000
sktm,4,0,8,0.000000,0.000565,0.000565,0.000000
sktp,4,0,1,0.000000,0.000071,0.000071,0.000000
sktt,4,0,1,0.000000,0.000071,0.000071,0.000000
sktw,4,0,2,0.000000,0.000141,0.000141,0.000000
sktð,4,0,20,0.000000,0.001413,0.001413,0.000000
skw,3,134,34,0.008531,0.002403,0.010934,0.780244
skð,3,0,4,0.000000,0.000283,0.000283,0.000000
skɲ,3,7,0,0.000446,0.000000,0.000446,1.000000
skʃ,3,101,0,0.006430,0.000000,0.006430,1.000000
skʃt,4,2,0,0.000127,0.000000,0.000127,1.000000
sl,2,59,300,0.003756,0.021201,0.024958,0.150506
slt,3,1,0,0.000064,0.000000,0.000064,1.000000
sm,2,188,414,0.011969,0.029258,0.041227,0.290323
smg,3,1,0,0.000064,0.000000,0.000064,1.000000
smgl,4,1,0,0.000064,0.000000,0.000064,1.000000
smj,3,0,2,0.000000,0.000141,0.000141,0.000000
smp,3,2,0,0.000127,0.000000,0.000127,1.000000
smpr,4,1,0,0.000064,0.000000,0.000064,1.000000
smpʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
smr,3,1,0,0.000064,0.000000,0.000064,1.000000
sms,3,3,0,0.000191,0.000000,0.000191,1.000000
smsl,4,1,0,0.000064,0.000000,0.000064,1.000000
smw,3,1,0,0.000064,0.000000,0.000064,1.000000
sn,2,496,166,0.031578,0.011731,0.043310,0.729127
snj,3,0,1,0.000000,0.000071,0.000071,0.000000
snk,3,4,0,0.000255,0.000000,0.000255,1.000000
sns,3,0,1,0.000000,0.000071,0.000071,0.000000
snt,3,0,2,0.000000,0.000141,0.000141,0.000000
sntf,4,0,1,0.000000,0.000071,0.000071,0.000000
sntl,4,0,1,0.000000,0.000071,0.000071,0.000000
sp,2,4406,891,0.280512,0.062968,0.343480,0.816676
spj,3,0,6,0.000000,0.000424,0.000424,0.000000
spk,3,2,0,0.000127,0.000000,0.000127,1.000000
spl,3,63,84,0.004011,0.005936,0.009947,0.403218
splv,4,1,0,0.000064,0.000000,0.000064,1.000000
spn,3,0,2,0.000000,0.000141,0.000141,0.000000
spr,3,753,78,0.047940,0.005512,0.053453,0.896874
sps,3,7,0,0.000446,0.000000,0.000446,1.000000
spt,3,1,2,0.000064,0.000141,0.000205,0.310552
spw,3,58,1,0.003693,0.000071,0.003763,0.981221
spʃ,3,313,0,0.019927,0.000000,0.019927,1.000000
sr,2,39,71,0.002483,0.005018,0.007501,0.331034
ss,2,346,169,0.022028,0.011943,0.033972,0.648431
ssf,3,7,0,0.000446,0.000000,0.000446,1.000000
ssfr,4,1,0,0.000064,0.000000,0.000064,1.000000
ssj,3,1,0,0.000064,0.000000,0.000064,1.000000
ssk,3,31,9,0.001974,0.000636,0.002610,0.756276
sskl,4,1,0,0.000064,0.000000,0.000064,1.000000
sskr,4,3,0,0.000191,0.000000,0.000191,1.000000
sskrv,5,1,0,0.000064,0.000000,0.000064,1.000000
sskw,4,4,0,0.000255,0.000000,0.000255,1.000000
sskʃ,4,2,0,0.000127,0.000000,0.000127,1.000000
ssl,3,2,2,0.000127,0.000141,0.000269,0.473926
sslt,4,1,0,0.000064,0.000000,0.000064,1.000000
ssm,3,0,2,0.000000,0.000141,0.000141,0.000000
ssn,3,1,1,0.000064,0.000071,0.000134,0.473926
ssp,3,45,20,0.002865,0.001413,0.004278,0.669636
sspr,4,4,3,0.000255,0.000212,0.000467,0.545695
ssps,4,1,0,0.000064,0.000000,0.000064,1.000000
sspw,4,1,0,0.000064,0.000000,0.000064,1.000000
sspʃ,4,4,0,0.000255,0.000000,0.000255,1.000000
ssr,3,1,0,0.000064,0.000000,0.000064,1.000000
sss,3,1,0,0.000064,0.000000,0.000064,1.000000
sst,3,73,35,0.004648,0.002473,0.007121,0.652653
sstf,4,1,0,0.000064,0.000000,0.000064,1.000000
sstj,4,0,1,0.000000,0.000071,0.000071,0.000000
sstr,4,11,6,0.000700,0.000424,0.001124,0.622869
sstʃ,4,20,0,0.001273,0.000000,0.001273,1.000000
sst͡ʃ,3,1,0,0.000064,0.000000,0.000064,1.000000
ssw,3,9,6,0.000573,0.000424,0.000997,0.574705
ssʃ,3,1,0,0.000064,0.000000,0.000064,1.000000
st,2,11839,4599,0.753740,0.325018,1.078758,0.698711
stb,3,0,70,0.000000,0.004947,0.004947,0.000000
stbj,4,0,4,0.000000,0.000283,0.000283,0.000000
stbr,4,0,2,0.000000,0.000141,0.000141,0.000000
std,3,0,55,0.000000,0.003887,0.003887,0.000000
stdj,4,0,2,0.000000,0.000141,0.000141,0.000000
stdr,4,0,9,0.000000,0.000636,0.000636,0.000000
std͡ʒ,3,0,8,0.000000,0.000565,0.000565,0.000000
stf,3,984,64,0.062647,0.004523,0.067170,0.932664
stfj,4,1,5,0.000064,0.000353,0.000417,0.152668
stfk,4,5,0,0.000318,0.000000,0.000318,1.000000
stfkl,5,1,0,0.000064,0.000000,0.000064,1.000000
stfkr,5,1,0,0.000064,0.000000,0.000064,1.000000
stfl,4,2,2,0.000127,0.000141,0.000269,0.473926
stfm,4,2,0,0.000127,0.000000,0.000127,1.000000
stfmw,5,1,0,0.000064,0.000000,0.000064,1.000000
stfn,4,2,0,0.000127,0.000000,0.000127,1.000000
stfp,4,17,0,0.001082,0.000000,0.001082,1.000000
stfpr,5,2,0,0.000127,0.000000,0.000127,1.000000
stfpʃ,5,2,0,0.000127,0.000000,0.000127,1.000000
stfr,4,3,11,0.000191,0.000777,0.000968,0.197234
stfs,4,15,0,0.000955,0.000000,0.000955,1.000000
stfsf,5,1,0,0.000064,0.000000,0.000064,1.000000
stfsk,5,1,0,0.000064,0.000000,0.000064,1.000000
stfsp,5,5,0,0.000318,0.000000,0.000318,1.000000
stfst,5,6,0,0.000382,0.000000,0.000382,1.000000
stfstʃ,6,1,0,0.000064,0.000000,0.000064,1.000000
stft,4,16,0,0.001019,0.000000,0.001019,1.000000
stftf,5,1,0,0.000064,0.000000,0.000064,1.000000
stftr,5,2,0,0.000127,0.000000,0.000127,1.000000
stftʃ,5,5,0,0.000318,0.000000,0.000318,1.000000
stft͡s,4,3,0,0.000191,0.000000,0.000191,1.000000
stft͡ʃ,4,23,0,0.001464,0.000000,0.001464,1.000000
stft͡ʃw,5,22,0,0.001401,0.000000,0.001401,1.000000
stfʃ,4,6,0,0.000382,0.000000,0.000382,1.000000
stfʃr,5,2,0,0.000127,0.000000,0.000127,1.000000
stg,3,0,30,0.000000,0.002120,0.002120,0.000000
stgl,4,0,1,0.000000,0.000071,0.000071,0.000000
stgr,4,0,5,0.000000,0.000353,0.000353,0.000000
sth,3,0,65,0.000000,0.004594,0.004594,0.000000
stj,3,93,73,0.005921,0.005159,0.011080,0.534383
stk,3,587,60,0.037372,0.004240,0.041612,0.898100
stkf,4,1,0,0.000064,0.000000,0.000064,1.000000
stkl,4,3,8,0.000191,0.000565,0.000756,0.252519
stkr,4,4,3,0.000255,0.000212,0.000467,0.545695
stkt,4,3,0,0.000191,0.000000,0.000191,1.000000
stkw,4,3,0,0.000191,0.000000,0.000191,1.000000
stkʃ,4,2,0,0.000127,0.000000,0.000127,1.000000
stkʃt,5,1,0,0.000064,0.000000,0.000064,1.000000
stl,3,16,57,0.001019,0.004028,0.005047,0.201837
stm,3,63,63,0.004011,0.004452,0.008463,0.473926
stmj,4,0,1,0.000000,0.000071,0.000071,0.000000
stmw,4,2,0,0.000127,0.000000,0.000127,1.000000
stmɲ,4,4,0,0.000255,0.000000,0.000255,1.000000
stn,3,100,41,0.006367,0.002898,0.009264,0.687231
stnj,4,0,1,0.000000,0.000071,0.000071,0.000000
stp,3,188,75,0.011969,0.005300,0.017270,0.693081
stpl,4,1,9,0.000064,0.000636,0.000700,0.090989
stpr,4,33,15,0.002101,0.001060,0.003161,0.664645
stpw,4,2,0,0.000127,0.000000,0.000127,1.000000
stpʃ,4,54,0,0.003438,0.000000,0.003438,1.000000
str,3,1185,583,0.075444,0.041201,0.116645,0.646781
strf,4,1,0,0.000064,0.000000,0.000064,1.000000
strfk,5,1,0,0.000064,0.000000,0.000064,1.000000
strfkl,6,1,0,0.000064,0.000000,0.000064,1.000000
strj,4,2,0,0.000127,0.000000,0.000127,1.000000
strp,4,1,0,0.000064,0.000000,0.000064,1.000000
strpr,5,1,0,0.000064,0.000000,0.000064,1.000000
strs,4,1,0,0.000064,0.000000,0.000064,1.000000
strst,5,1,0,0.000064,0.000000,0.000064,1.000000
strv,4,4,0,0.000255,0.000000,0.000255,1.000000
strʒ,4,1,0,0.000064,0.000000,0.000064,1.000000
sts,3,68,115,0.004329,0.008127,0.012456,0.347552
stsf,4,5,1,0.000318,0.000071,0.000389,0.818326
stsj,4,0,2,0.000000,0.000141,0.000141,0.000000
stsk,4,9,2,0.000573,0.000141,0.000714,0.802134
stskl,5,1,0,0.000064,0.000000,0.000064,1.000000
stsl,4,0,2,0.000000,0.000141,0.000141,0.000000
stsm,4,0,1,0.000000,0.000071,0.000071,0.000000
stsn,4,0,3,0.000000,0.000212,0.000212,0.000000
stsp,4,15,6,0.000955,0.000424,0.001379,0.692514
stspr,5,4,0,0.000255,0.000000,0.000255,1.000000
stst,4,13,25,0.000828,0.001767,0.002594,0.319011
ststf,5,1,0,0.000064,0.000000,0.000064,1.000000
ststr,5,3,0,0.000191,0.000000,0.000191,1.000000
ststʃ,5,1,0,0.000064,0.000000,0.000064,1.000000
stst͡s,4,1,0,0.000064,0.000000,0.000064,1.000000
stsw,4,3,2,0.000191,0.000141,0.000332,0.574705
stsð,4,0,1,0.000000,0.000071,0.000071,0.000000
stsʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
stt,3,179,129,0.011396,0.009117,0.020513,0.555565
sttf,4,5,0,0.000318,0.000000,0.000318,1.000000
sttr,4,6,8,0.000382,0.000565,0.000947,0.403218
sttw,4,0,1,0.000000,0.000071,0.000071,0.000000
sttʃ,4,2,0,0.000127,0.000000,0.000127,1.000000
stt͡s,3,16,0,0.001019,0.000000,0.001019,1.000000
stt͡ʃ,3,23,6,0.001464,0.000424,0.001888,0.775450
stt͡ʃw,4,4,0,0.000255,0.000000,0.000255,1.000000
stv,3,0,8,0.000000,0.000565,0.000565,0.000000
stw,3,13,107,0.000828,0.007562,0.008389,0.098654
stð,3,0,86,0.000000,0.006078,0.006078,0.000000
stɲ,3,198,0,0.012606,0.000000,0.012606,1.000000
stʃ,3,394,11,0.025084,0.000777,0.025862,0.969941
stʃf,4,1,0,0.000064,0.000000,0.000064,1.000000
stʃk,4,5,0,0.000318,0.000000,0.000318,1.000000
stʃkw,5,1,0,0.000064,0.000000,0.000064,1.000000
stʃl,4,3,0,0.000191,0.000000,0.000191,1.000000
stʃm,4,5,0,0.000318,0.000000,0.000318,1.000000
stʃn,4,2,0,0.000127,0.000000,0.000127,1.000000
stʃp,4,2,0,0.000127,0.000000,0.000127,1.000000
stʃpr,5,1,0,0.000064,0.000000,0.000064,1.000000
stʃr,4,3,0,0.000191,0.000000,0.000191,1.000000
stʃt,4,3,0,0.000191,0.000000,0.000191,1.000000
stʃt͡ʃ,4,2,0,0.000127,0.000000,0.000127,1.000000
st͡s,2,664,113,0.042274,0.007986,0.050260,0.841109
st͡sb,3,0,4,0.000000,0.000283,0.000283,0.000000
st͡sd,3,0,3,0.000000,0.000212,0.000212,0.000000
st͡sf,3,0,8,0.000000,0.000565,0.000565,0.000000
st͡sg,3,0,2,0.000000,0.000141,0.000141,0.000000
st͡sh,3,0,1,0.000000,0.000071,0.000071,0.000000
st͡sj,3,1,1,0.000064,0.000071,0.000134,0.473926
st͡sk,3,2,5,0.000127,0.000353,0.000481,0.264894
st͡skl,4,0,2,0.000000,0.000141,0.000141,0.000000
st͡sl,3,0,1,0.000000,0.000071,0.000071,0.000000
st͡sm,3,1,3,0.000064,0.000212,0.000276,0.230941
st͡sn,3,2,0,0.000127,0.000000,0.000127,1.000000
st͡sp,3,10,2,0.000637,0.000141,0.000778,0.818326
st͡spr,4,7,0,0.000446,0.000000,0.000446,1.000000
st͡spʃ,4,2,0,0.000127,0.000000,0.000127,1.000000
st͡sr,3,1,7,0.000064,0.000495,0.000558,0.114022
st͡ss,3,0,3,0.000000,0.000212,0.000212,0.000000
st͡ssp,4,0,1,0.000000,0.000071,0.000071,0.000000
st͡sst,4,0,1,0.000000,0.000071,0.000071,0.000000
st͡st,3,1,3,0.000064,0.000212,0.000276,0.230941
st͡sv,3,0,2,0.000000,0.000141,0.000141,0.000000
st͡svj,4,0,1,0.000000,0.000071,0.000071,0.000000
st͡sw,3,0,5,0.000000,0.000353,0.000353,0.000000
st͡sð,3,0,3,0.000000,0.000212,0.000212,0.000000
st͡sɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
st͡ʃ,2,119,76,0.007576,0.005371,0.012947,0.585161
st͡ʃt,3,4,0,0.000255,0.000000,0.000255,1.000000
st͡ʃw,3,4,0,0.000255,0.000000,0.000255,1.000000
stθ,3,0,27,0.000000,0.001908,0.001908,0.000000
stθr,4,0,9,0.000000,0.000636,0.000636,0.000000
sv,2,4,28,0.000255,0.001979,0.002233,0.114022
svj,3,1,3,0.000064,0.000212,0.000276,0.230941
sw,2,1243,419,0.079137,0.029611,0.108748,0.727707
swb,3,1,0,0.000064,0.000000,0.000064,1.000000
swd,3,5,0,0.000318,0.000000,0.000318,1.000000
swdʒ,4,1,0,0.000064,0.000000,0.000064,1.000000
swf,3,7,0,0.000446,0.000000,0.000446,1.000000
swfp,4,1,0,0.000064,0.000000,0.000064,1.000000
swfpr,5,1,0,0.000064,0.000000,0.000064,1.000000
swfs,4,4,0,0.000255,0.000000,0.000255,1.000000
swfsp,5,4,0,0.000255,0.000000,0.000255,1.000000
swfspr,6,1,0,0.000064,0.000000,0.000064,1.000000
swfʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
swg,3,2,0,0.000127,0.000000,0.000127,1.000000
swgw,4,1,0,0.000064,0.000000,0.000064,1.000000
swj,3,2,0,0.000127,0.000000,0.000127,1.000000
swk,3,3,0,0.000191,0.000000,0.000191,1.000000
swm,3,3,0,0.000191,0.000000,0.000191,1.000000
swn,3,6,0,0.000382,0.000000,0.000382,1.000000
swp,3,5,0,0.000318,0.000000,0.000318,1.000000
swpr,4,1,0,0.000064,0.000000,0.000064,1.000000
swr,3,2,0,0.000127,0.000000,0.000127,1.000000
sws,3,6,0,0.000382,0.000000,0.000382,1.000000
swsf,4,1,0,0.000064,0.000000,0.000064,1.000000
swsk,4,2,0,0.000127,0.000000,0.000127,1.000000
swskr,5,1,0,0.000064,0.000000,0.000064,1.000000
swskʃ,5,1,0,0.000064,0.000000,0.000064,1.000000
swst,4,2,0,0.000127,0.000000,0.000127,1.000000
swsw,4,1,0,0.000064,0.000000,0.000064,1.000000
swt,3,2,0,0.000127,0.000000,0.000127,1.000000
swv,3,5,0,0.000318,0.000000,0.000318,1.000000
swvn,4,1,0,0.000064,0.000000,0.000064,1.000000
sww,3,1,0,0.000064,0.000000,0.000064,1.000000
swz,3,1,0,0.000064,0.000000,0.000064,1.000000
swzd,4,1,0,0.000064,0.000000,0.000064,1.000000
swzdj,5,1,0,0.000064,0.000000,0.000064,1.000000
swɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
swɲ,3,2,0,0.000127,0.000000,0.000127,1.000000
swʃ,3,3,0,0.000191,0.000000,0.000191,1.000000
sx,2,5,0,0.000318,0.000000,0.000318,1.000000
sxs,3,1,0,0.000064,0.000000,0.000064,1.000000
sxsp,4,1,0,0.000064,0.000000,0.000064,1.000000
sxspʃ,5,1,0,0.000064,0.000000,0.000064,1.000000
sxt,3,1,0,0.000064,0.000000,0.000064,1.000000
sxt͡s,3,1,0,0.000064,0.000000,0.000064,1.000000
sz,2,3,0,0.000191,0.000000,0.000191,1.000000
sð,2,0,199,0.000000,0.014064,0.014064,0.000000
sɣ,2,1,0,0.000064,0.000000,0.000064,1.000000
sɲ,2,34,0,0.002165,0.000000,0.002165,1.000000
sʃ,2,125,25,0.007958,0.001767,0.009725,0.818326
sʃk,3,3,0,0.000191,0.000000,0.000191,1.000000
sʃl,3,3,0,0.000191,0.000000,0.000191,1.000000
sʃm,3,1,0,0.000064,0.000000,0.000064,1.000000
sʃr,3,1,0,0.000064,0.000000,0.000064,1.000000
sʃt,3,1,0,0.000064,0.000000,0.000064,1.000000
sʃt͡ʃ,3,7,0,0.000446,0.000000,0.000446,1.000000
sʃɲ,3,3,0,0.000191,0.000000,0.000191,1.000000
sθ,2,0,24,0.000000,0.001696,0.001696,0.000000
sθd,3,0,1,0.000000,0.000071,0.000071,0.000000
sθr,3,0,7,0.000000,0.000495,0.000495,0.000000
tb,2,0,500,0.000000,0.035336,0.035336,0.000000
tbj,3,0,4,0.000000,0.000283,0.000283,0.000000
tbl,3,0,20,0.000000,0.001413,0.001413,0.000000
tbr,3,0,28,0.000000,0.001979,0.001979,0.000000
td,2,0,471,0.000000,0.033286,0.033286,0.000000
tdj,3,0,9,0.000000,0.000636,0.000636,0.000000
tdr,3,0,38,0.000000,0.002686,0.002686,0.000000
td͡ʒ,2,0,58,0.000000,0.004099,0.004099,0.000000
tf,2,2029,477,0.129178,0.033710,0.162888,0.793047
tfj,3,2,9,0.000127,0.000636,0.000763,0.166801
tfk,3,13,0,0.000828,0.000000,0.000828,1.000000
tfkf,4,1,0,0.000064,0.000000,0.000064,1.000000
tfkl,4,1,0,0.000064,0.000000,0.000064,1.000000
tfkr,4,4,0,0.000255,0.000000,0.000255,1.000000
tfkʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
tfl,3,3,14,0.000191,0.000989,0.001180,0.161808
tfm,3,2,0,0.000127,0.000000,0.000127,1.000000
tfmw,4,1,0,0.000064,0.000000,0.000064,1.000000
tfn,3,2,0,0.000127,0.000000,0.000127,1.000000
tfp,3,34,0,0.002165,0.000000,0.002165,1.000000
tfpr,4,4,0,0.000255,0.000000,0.000255,1.000000
tfpw,4,6,0,0.000382,0.000000,0.000382,1.000000
tfpʃ,4,4,0,0.000255,0.000000,0.000255,1.000000
tfr,3,5,65,0.000318,0.004594,0.004912,0.064807
tfs,3,44,0,0.002801,0.000000,0.002801,1.000000
tfsf,4,2,0,0.000127,0.000000,0.000127,1.000000
tfsk,4,3,0,0.000191,0.000000,0.000191,1.000000
tfsp,4,20,0,0.001273,0.000000,0.001273,1.000000
tfspr,5,1,0,0.000064,0.000000,0.000064,1.000000
tfst,4,13,0,0.000828,0.000000,0.000828,1.000000
tfstr,5,1,0,0.000064,0.000000,0.000064,1.000000
tfstʃ,5,3,0,0.000191,0.000000,0.000191,1.000000
tft,3,29,0,0.001846,0.000000,0.001846,1.000000
tftf,4,1,0,0.000064,0.000000,0.000064,1.000000
tftr,4,3,0,0.000191,0.000000,0.000191,1.000000
tftʃ,4,5,0,0.000318,0.000000,0.000318,1.000000
tft͡s,3,5,0,0.000318,0.000000,0.000318,1.000000
tft͡ʃ,3,43,0,0.002738,0.000000,0.002738,1.000000
tft͡ʃw,4,22,0,0.001401,0.000000,0.001401,1.000000
tfɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
tfʃ,3,22,0,0.001401,0.000000,0.001401,1.000000
tfʃp,4,1,0,0.000064,0.000000,0.000064,1.000000
tfʃr,4,3,0,0.000191,0.000000,0.000191,1.000000
tg,2,0,187,0.000000,0.013216,0.013216,0.000000
tgl,3,0,13,0.000000,0.000919,0.000919,0.000000
tgr,3,0,31,0.000000,0.002191,0.002191,0.000000
th,2,0,577,0.000000,0.040777,0.040777,0.000000
thj,3,0,2,0.000000,0.000141,0.000141,0.000000
tj,2,174,440,0.011078,0.031095,0.042173,0.262675
tk,2,2389,402,0.152098,0.028410,0.180508,0.842611
tkf,3,14,0,0.000891,0.000000,0.000891,1.000000
tkj,3,0,1,0.000000,0.000071,0.000071,0.000000
tkl,3,14,37,0.000891,0.002615,0.003506,0.254216
tkn,3,14,0,0.000891,0.000000,0.000891,1.000000
tkr,3,96,25,0.006112,0.001767,0.007879,0.775752
tkrv,4,1,0,0.000064,0.000000,0.000064,1.000000
tkt,3,19,0,0.001210,0.000000,0.001210,1.000000
tkw,3,11,27,0.000700,0.001908,0.002608,0.268483
tkɲ,3,11,0,0.000700,0.000000,0.000700,1.000000
tkʃ,3,12,0,0.000764,0.000000,0.000764,1.000000
tkʃt,4,2,0,0.000127,0.000000,0.000127,1.000000
tl,2,144,514,0.009168,0.036325,0.045493,0.201523
tln,3,4,0,0.000255,0.000000,0.000255,1.000000
tlv,3,1,0,0.000064,0.000000,0.000064,1.000000
tlz,3,0,3,0.000000,0.000212,0.000212,0.000000
tlzw,4,0,2,0.000000,0.000141,0.000141,0.000000
tlʃ,3,0,1,0.000000,0.000071,0.000071,0.000000
tm,2,171,518,0.010887,0.036608,0.047495,0.229223
tmj,3,0,7,0.000000,0.000495,0.000495,0.000000
tmm,3,1,0,0.000064,0.000000,0.000064,1.000000
tmn,3,1,0,0.000064,0.000000,0.000064,1.000000
tmp,3,1,0,0.000064,0.000000,0.000064,1.000000
tmw,3,3,0,0.000191,0.000000,0.000191,1.000000
tmz,3,1,0,0.000064,0.000000,0.000064,1.000000
tmzm,4,1,0,0.000064,0.000000,0.000064,1.000000
tmɲ,3,7,0,0.000446,0.000000,0.000446,1.000000
tn,2,567,314,0.036099,0.022191,0.058289,0.619299
tnd,3,0,1,0.000000,0.000071,0.000071,0.000000
tnj,3,0,9,0.000000,0.000636,0.000636,0.000000
tnt,3,0,1,0.000000,0.000071,0.000071,0.000000
tp,2,1081,275,0.068823,0.019435,0.088257,0.779796
tpj,3,0,1,0.000000,0.000071,0.000071,0.000000
tpl,3,38,45,0.002419,0.003180,0.005600,0.432056
tpr,3,95,48,0.006048,0.003392,0.009440,0.640672
tps,3,2,0,0.000127,0.000000,0.000127,1.000000
tpw,3,23,0,0.001464,0.000000,0.001464,1.000000
tpʃ,3,122,0,0.007767,0.000000,0.007767,1.000000
tr,2,3021,1753,0.192335,0.123887,0.316222,0.608227
trb,3,2,0,0.000127,0.000000,0.000127,1.000000
