cluster,length,occurences_pl,occurences_en,frequency_pl,frequency_en,total_frequency,relative_frequency
dzst,4,0,2,0.000000,0.000141,0.000141,0.000000
dzt,3,0,5,0.000000,0.000353,0.000353,0.000000
dztr,4,0,1,0.000000,0.000071,0.000071,0.000000
dzt͡ʃ,3,0,1,0.000000,0.000071,0.000071,0.000000
dzv,3,16,0,0.001019,0.000000,0.001019,1.000000
dzvm,4,1,0,0.000064,0.000000,0.000064,1.000000
dzvr,4,1,0,0.000064,0.000000,0.000064,1.000000
dzvw,4,1,0,0.000064,0.000000,0.000064,1.000000
dzw,3,12,8,0.000764,0.000565,0.001329,0.574705
dzz,3,3,0,0.000191,0.000000,0.000191,1.000000
dzzɣ,4,2,0,0.000127,0.000000,0.000127,1.000000
dzð,3,0,6,0.000000,0.000424,0.000424,0.000000
dzɣ,3,7,0,0.000446,0.000000,0.000446,1.000000
dzɲ,3,8,0,0.000509,0.000000,0.000509,1.000000
dzʒ,3,2,0,0.000127,0.000000,0.000127,1.000000
dzθ,3,0,1,0.000000,0.000071,0.000071,0.000000
dð,2,0,898,0.000000,0.063463,0.063463,0.000000
dɣ,2,147,0,0.009359,0.000000,0.009359,1.000000
dɣb,3,1,0,0.000064,0.000000,0.000064,1.000000
dɣd,3,1,0,0.000064,0.000000,0.000064,1.000000
dɣl,3,3,0,0.000191,0.000000,0.000191,1.000000
dɣm,3,3,0,0.000191,0.000000,0.000191,1.000000
dɣn,3,13,0,0.000828,0.000000,0.000828,1.000000
dɣr,3,5,0,0.000318,0.000000,0.000318,1.000000
dɣv,3,10,0,0.000637,0.000000,0.000637,1.000000
dɣz,3,4,0,0.000255,0.000000,0.000255,1.000000
dɣzɣ,4,1,0,0.000064,0.000000,0.000064,1.000000
dɣɲ,3,6,0,0.000382,0.000000,0.000382,1.000000
dɣʒ,3,2,0,0.000127,0.000000,0.000127,1.000000
dɲ,2,1383,0,0.088050,0.000000,0.088050,1.000000
dʃ,2,0,95,0.000000,0.006714,0.006714,0.000000
dʃr,3,0,2,0.000000,0.000141,0.000141,0.000000
dʒ,2,340,1,0.021646,0.000071,0.021717,0.996746
dʒb,3,5,0,0.000318,0.000000,0.000318,1.000000
dʒd,3,1,0,0.000064,0.000000,0.000064,1.000000
dʒg,3,1,0,0.000064,0.000000,0.000064,1.000000
dʒl,3,1,0,0.000064,0.000000,0.000064,1.000000
dʒv,3,117,0,0.007449,0.000000,0.007449,1.000000
dʒvn,4,1,0,0.000064,0.000000,0.000064,1.000000
dʒvr,4,1,0,0.000064,0.000000,0.000064,1.000000
dʒz,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zb,2,49,22,0.003120,0.001555,0.004674,0.667386
d͡zbl,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zbr,3,3,3,0.000191,0.000212,0.000403,0.473926
d͡zbw,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zbɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zbʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zbʒm,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zd,2,55,5,0.003502,0.000353,0.003855,0.908338
d͡zdl,3,3,0,0.000191,0.000000,0.000191,1.000000
d͡zdr,3,1,1,0.000064,0.000071,0.000134,0.473926
d͡zdv,3,3,0,0.000191,0.000000,0.000191,1.000000
d͡zdvv,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zdvvr,5,1,0,0.000064,0.000000,0.000064,1.000000
d͡zdw,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡zdʒ,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡zdʒv,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zd͡z,2,1,0,0.000064,0.000000,0.000064,1.000000
d͡zd͡zb,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zd͡ʒ,2,3,3,0.000191,0.000212,0.000403,0.473926
d͡zf,2,0,19,0.000000,0.001343,0.001343,0.000000
d͡zfl,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡zfr,3,0,4,0.000000,0.000283,0.000283,0.000000
d͡zg,2,40,6,0.002547,0.000424,0.002971,0.857261
d͡zgd,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zgr,3,6,2,0.000382,0.000141,0.000523,0.729921
d͡zgv,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zgw,3,7,0,0.000446,0.000000,0.000446,1.000000
d͡zgz,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡zgzd,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zgɣ,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡zgʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zh,2,0,21,0.000000,0.001484,0.001484,0.000000
d͡zhj,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡zj,2,2,4,0.000127,0.000283,0.000410,0.310552
d͡zk,2,1,9,0.000064,0.000636,0.000700,0.090989
d͡zl,2,7,8,0.000446,0.000565,0.001011,0.440798
d͡zm,2,17,15,0.001082,0.001060,0.002142,0.505193
d͡zn,2,10,15,0.000637,0.001060,0.001697,0.375227
d͡znj,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡zp,2,0,5,0.000000,0.000353,0.000353,0.000000
d͡zr,2,1,6,0.000064,0.000424,0.000488,0.130545
d͡zs,2,0,19,0.000000,0.001343,0.001343,0.000000
d͡zsl,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡zsm,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡zsp,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡zst,3,0,3,0.000000,0.000212,0.000212,0.000000
d͡zt,2,0,26,0.000000,0.001837,0.001837,0.000000
d͡ztr,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡zt͡ʃ,2,0,1,0.000000,0.000071,0.000071,0.000000
d͡zv,2,177,0,0.011269,0.000000,0.011269,1.000000
d͡zvb,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡zvbl,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zvbr,4,2,0,0.000127,0.000000,0.000127,1.000000
d͡zvd,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡zvd͡ʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zvg,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡zvgr,4,2,0,0.000127,0.000000,0.000127,1.000000
d͡zvgv,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zvj,3,4,0,0.000255,0.000000,0.000255,1.000000
d͡zvl,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zvm,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zvr,3,18,0,0.001146,0.000000,0.001146,1.000000
d͡zvv,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡zvw,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zvz,3,8,0,0.000509,0.000000,0.000509,1.000000
d͡zvzr,4,3,0,0.000191,0.000000,0.000191,1.000000
d͡zvɲ,3,9,0,0.000573,0.000000,0.000573,1.000000
d͡zvʒ,3,8,0,0.000509,0.000000,0.000509,1.000000
d͡zw,2,0,34,0.000000,0.002403,0.002403,0.000000
d͡zz,2,121,0,0.007704,0.000000,0.007704,1.000000
d͡zzb,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡zzbr,4,2,0,0.000127,0.000000,0.000127,1.000000
